Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stockholders_Equity,Stockholders_Equity_Growth,Cash_And_Equivalents,Cash_And_Equivalents_Growth,Total_Assets,Total_Assets_Growth,Working_Capital,Working_Capital_Growth,Total_Debt,Total_Debt_Growth
2023-08-23,286.7323732562124,295.577837283612,285.90747197497666,292.43719482421875,18287000,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-24,296.67111160823754,297.6252212635556,284.88379154825276,284.99310302734375,18360900,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-25,284.3769078296585,286.62307068516355,274.3387837050851,283.7507629394531,23701400,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-28,286.2354654072445,289.66433988550926,284.0489323586986,288.48162841796875,14239300,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-29,286.81186621747776,297.31711144463566,286.41432307081345,296.1642150878906,20844500,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-30,295.3492862928779,296.4624193263805,291.63218022598824,293.2919616699219,17717000,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-08-31,293.98767316078107,299.2552191889363,293.84854668813364,294.0771484375,17229900,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-01,297.5357575016883,299.8912316773539,292.66578582943225,294.5640869140625,12842300,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-05,295.20020718482607,299.54345855006136,293.6994792764168,298.31103515625,14956000,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-06,299.8614212554446,301.44167572223057,293.84850159896115,297.3370056152344,15418100,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-07,296.17421002677173,305.16875024601484,290.4296242133021,296.8401184082031,33748700,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-08,297.38668763075606,303.37974075580405,294.961635024311,296.0648498535156,17548000,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-11,299.56328484691215,307.1465412031133,299.43407649527063,305.67559814453125,19489300,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-12,304.4531690311037,306.76891061042903,298.3905666756111,299.8117980957031,13480400,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-13,300.5074485328093,305.29792403579717,299.4738423723781,303.19091796875,13210900,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-14,304.86059071081536,310.9530369816993,303.1610763934704,309.8100891113281,19343100,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-15,309.7007857678787,310.088410840117,296.9195921105287,298.47003173828125,28131100,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-18,296.363016980272,301.73987399777747,295.9753919193005,300.6962890625,14234200,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-19,300.6267088125045,304.2941025217708,297.9730546201246,303.2008361816406,15924400,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-20,303.1809965191414,306.1725644483094,297.5954341908518,297.833984375,19379500,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-21,293.8883063562323,298.4203655519059,291.4731715195021,293.9181213378906,21319600,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-22,297.4662118927926,303.5089774314611,296.44252379513864,297.24755859375,25369600,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-25,293.82867316991013,299.10613717975474,291.90055682888425,298.9868469238281,18987000,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-26,295.8362426052997,298.46005156922627,294.19635821152093,297.1282653808594,19417200,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-27,298.6091894634208,299.4539573464908,285.0328790760572,295.915771484375,36429800,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-28,297.1084242521594,304.45313062279126,294.8821582340951,302.09765625,22167100,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-09-29,305.49675073216946,308.73678708760275,297.52586821318613,298.37066650390625,25373700,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-10-02,300.8850755299766,305.2978736836052,299.78189115686655,304.9400939941406,16265600,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
2023-10-03,302.3958575791046,304.89045858764183,297.8041684295861,299.09619140625,17362300,0.0,0.0,125713000000.0,0.6678464753881758,14681000000.0,-11.565568339256671,185727000000.0,11.892497605234146,32523000000.0,-28.569546023588327,26591000000.0,91.67447560008651
